nama_kelompok_komoditas;nama_komoditas;satuan_standar;harga_minimal;harga_maksimal;satuan_lokal;konversi_satuan
A. PADI-PADIAN;Beras (beras lokal, kualitas unggul, impor);Kg;9000;19000;Kg;1
A. PADI-PADIAN;Beras (beras lokal, kualitas unggul, impor);Kg;9000;19000;Kulak;3.2
A. PADI-PADIAN;Beras (beras lokal, kualitas unggul, impor);Kg;9000;19000;Canting;0.27
A. PADI-PADIAN;Beras (beras lokal, kualitas unggul, impor);Kg;9000;19000;Cup Magicjar;0.13
A. PADI-PADIAN;Beras (beras lokal, kualitas unggul, impor);Kg;9000;19000;Pikul;64
A. PADI-PADIAN;Beras (beras lokal, kualitas unggul, impor);Kg;9000;19000;Kaleng;16
A. PADI-PADIAN;Beras ketan;Kg;10000;35000;Kg;1
A. PADI-PADIAN;Jagung basah degan kulit;Kg;1000;7000;Jagung tanpa kulit;1.45
A. PADI-PADIAN;Jagung pipilan/beras jagung/jagung titi;Kg;4000;12000;Kg;1
A. PADI-PADIAN;Tepung terigu;Kg;7000;18000;Kg;1
A. PADI-PADIAN;Padi-padian lainnya;Kg;5000;32000;Kg;1
B. UMBI-UMBIAN;Ketela pohon/singkong;Kg;1000;4000;Kg;1
B. UMBI-UMBIAN;Ketela rambat/ubi jalar;Kg;2500;10000;Kg;1
B. UMBI-UMBIAN;Sagu (bukan dari ketela pohon);Kg;3000;20000;Kg;1
B. UMBI-UMBIAN;Talas/keladi;Kg;2500;15000;Kg;1
B. UMBI-UMBIAN;Kentang;Kg;10000;20000;Kg;1
B. UMBI-UMBIAN;Gaplek;Kg;3000;15000;Kg;1
B. UMBI-UMBIAN;Umbi-umbian lainnya;Kg;2500;20000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Ekor kuning;Kg;40000;85000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Tongkol;Kg;20000;55000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Tuna;Kg;25000;65000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Cakalang, dencis;Kg;20000;45000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Tenggiri;Kg;25000;75000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Selar;Kg;20000;50000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Kembung, lema/tatare, banyar/banyara;Kg;20000;70000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Teri basah;Kg;20000;40000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Bandeng;Kg;25000;55000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Gabus;Kg;25000;100000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Mujair;Kg;25000;35000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Mas;Kg;25000;50000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Nila;Kg;25000;35000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Lele;Kg;25000;35000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Kakap;Kg;40000;125000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Baronang;Kg;30000;100000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Patin;Kg;25000;40000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Bawal;Kg;30000;50000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Gurame;Kg;30000;70000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Ikan segar/basah lainnya;Kg;10000;150000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Udang, lobster;Kg;40000;200000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Udang, lobster;Kg;40000;200000;Gelas Belimbing (Udang Kasut) ;0.25
C. IKAN/UDANG/CUMI/KERANG;Cumi-cumi, sotong, gurita;Kg;60000;120000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Ketam, kepiting, rajungan;Kg;5000;50000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Kerang, siput, bekicot, remis;Kg;5000;100000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Udang dan hewan air lainnya yang segar lainnya;Kg;5000;100000;Kg;1
C. IKAN/UDANG/CUMI/KERANG;Kembung diawetkan/peda;Ons;4000;30000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Tenggiri diawetkan;Ons;3000;10000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Tongkol/tuna/cakalang diawetkan;Ons;4000;30000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Teri diawetkan;Ons;5000;20000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Selar diawetkan;Ons;4000;10000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Sepat diawetkan;Ons;3000;50000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Bandeng diawetkan;Ons;3500;10000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Gabus diawetkan;Ons;5000;120000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Ikan dalam kalengtuna dalam kaleng, dsb);Ons;5000;15000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Ikan dalam kalengtuna dalam kaleng, dsb);Ons;5000;15000;Kaleng  Sarden Kecil;1.55
C. IKAN/UDANG/CUMI/KERANG;Ikan diawetkan lainnya;Ons;4000;15000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Udang diawetkan (ebi, rebon);Ons;5000;30000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Cumi-cumi, sotong, gurita diawetkan;Ons;5000;30000;Ons;1
C. IKAN/UDANG/CUMI/KERANG;Udang dan hewan air lainnya yang diawetkan;Ons;3000;15000;Ons;1
D. DAGING;Daging sapi;Kg;80000;160000;Kg;1
D. DAGING;Daging kambing, domba/biri-biri;Kg;50000;125000;Kg;1
D. DAGING;Daging babi;Kg;20000;95000;Kg;1
D. DAGING;Daging ayam ras;Kg;30000;40000;Kg;1
D. DAGING;Daging ayam kampung;Kg;40000;100000;Kg;1
D. DAGING;Daging segar lainnya;Kg;40000;170000;Kg;1
D. DAGING;Daging diawetkan lainnya;Kg;40000;200000;Kg;1
D. DAGING;Tetelan, sandung lamur;Kg;10000;100000;Kg;1
D. DAGING;Lainnya (hati, jeroan, iga, kaki, buntut, kepala,;Kg;12000;150000;Kg;1
E. TELUR DAN SUSU;Telur ayam ras;Butir;1250;3000;Butir;1
E. TELUR DAN SUSU;Telur ayam ras;Butir;1250;3000;Karpet;30
E. TELUR DAN SUSU;Telur ayam kampung;Butir;1500;5000;Butir;1
E. TELUR DAN SUSU;Telur ayam kampung;Butir;1500;5000;Karpet;30
E. TELUR DAN SUSU;Telur itik/telur itik manila;Butir;2000;6000;Butir;1
E. TELUR DAN SUSU;Telur itik/telur itik manila;Butir;2000;6000;Karpet;30
E. TELUR DAN SUSU;Telur lainnya (telur puyuh, telur asin mentah maup;Butir;300;10000;Butir;1
E. TELUR DAN SUSU;Telur lainnya (telur puyuh, telur asin mentah maup;Butir;300;10000;Karpet;30
E. TELUR DAN SUSU;Susu cair pabrik;Kotak Kecil;2000;10000;Kotak Kecil;1
E. TELUR DAN SUSU;Susu kental manis;Kaleng;8000;20000;Kaleng;1
E. TELUR DAN SUSU;Susu kental manis;Kaleng;8000;20000;Sachet;0.11
E. TELUR DAN SUSU;Susu bubuk;Kg;43000;300000;Kg;1
E. TELUR DAN SUSU;Susu bubuk bayi;Kg;60000;450000;Kg;1
F. SAYUR-SAYURAN;Bayam;Kg;6000;15000;Kg;1
F. SAYUR-SAYURAN;Bayam;Kg;6000;15000;Ikat Bayam cabut;0.33
F. SAYUR-SAYURAN;Bayam;Kg;6000;15000;Ikat Bayam Dusun ;0.5
F. SAYUR-SAYURAN;Kangkung;Kg;3000;12000;Kg;1
F. SAYUR-SAYURAN;Kangkung;Kg;3000;12000;Ikat Kangkung  (Sudah dipotong bagian bawah);0.22
F. SAYUR-SAYURAN;Kangkung;Kg;3000;12000;Ikat Kangkung Utuh;0.5
F. SAYUR-SAYURAN;Kol/kubis;Kg;4000;12000;Kg;1
F. SAYUR-SAYURAN;Sawi putih (petsai);Kg;6000;11000;Kg;1
F. SAYUR-SAYURAN;Sawi hijau;Kg;6000;12000;Kg;1
F. SAYUR-SAYURAN;Buncis;Kg;6000;20000;Kg;1
F. SAYUR-SAYURAN;Kacang panjang;Kg;3000;15000;Kg;1
F. SAYUR-SAYURAN;Kacang panjang;Kg;3000;15000;Ikat;0.3
F. SAYUR-SAYURAN;Tomat sayur, tomat ceri;Kg;3000;20000;Kg;1
F. SAYUR-SAYURAN;Wortel;Kg;4000;20000;Kg;1
F. SAYUR-SAYURAN;Mentimun;Kg;1000;15000;Kg;1
F. SAYUR-SAYURAN;Daun ketela pohon/daun singkong;Kg;1000;10000;Kg;1
